service;species;value;reliability;cultural_condition
nitrogen_provision;Oenanthe lachenalii;0.2453598827123642;33.33333206176758;natural
storage_and_return_water;Anthyllis terniflora;0.006521225441247225;16.66666603088379;natural
nitrogen_provision;Centaurea collina;0.008735431358218193;11.11111068725586;natural
nitrogen_provision;Linum perrene L.;0.022317374125123024;11.11111068725586;natural
nitrogen_provision;Hieracium alpinum;0.2687835097312927;33.33333206176758;natural
storage_and_return_water;Androsace villosa;0.08222924172878265;16.66666603088379;natural
storage_and_return_water;Juncus drummondii;0.2639527916908264;33.33333206176758;natural
soil_structuration;Cassia fasciculata;0.07651884853839874;11.11111068725586;natural
nitrogen_provision;Panicum virgatum;0.38276952505111694;77.77777862548828;natural
nitrogen_provision;Helianthemum rosmarinifolium;0.4450390636920929;22.22222137451172;natural
storage_and_return_water;Sagina maritima;0.08635952323675156;16.66666603088379;natural
storage_and_return_water;Hypericum boreale;0.03293465077877045;16.66666603088379;natural
nitrogen_provision;Agrostis mertensii;0.2763710021972656;33.33333206176758;natural
nitrogen_provision;Stipa lagascae;0.007528424728661776;11.11111068725586;natural
nitrogen_provision;Polygonum divaricatum;0.6207050681114197;33.33333206176758;natural
nitrogen_provision;Carex laxa;0.1666666716337204;11.11111068725586;natural
storage_and_return_water;Erigeron karvinskianus;0.16455408930778503;16.66666603088379;natural
storage_and_return_water;Clinopodium acinos;0.1160396933555603;16.66666603088379;natural
storage_and_return_water;Myosotis scorpioides;0.4220762848854065;16.66666603088379;natural
storage_and_return_water;Gnaphalium norvegicum;0.024544907733798027;16.66666603088379;natural
storage_and_return_water;Myagrum perfoliatum;0.02996288612484932;16.66666603088379;natural
soil_structuration;Calamagrostis arundinacea;0.36913183331489563;11.11111068725586;natural
nitrogen_provision;Hymenopappus filifolius;0.01643836684525013;22.22222137451172;natural
nitrogen_provision;Asclepias viridis;0.27265265583992004;55.55555725097656;natural
nitrogen_provision;Dioscorea communis;0.28498613834381104;33.33333206176758;natural
nitrogen_provision;Oryza australiensis;0.1666666716337204;11.11111068725586;natural
nitrogen_provision;Carex aquatilis var. minor;0;11.11111068725586;natural
soil_structuration;Pastinaca sativa;0.20186541974544525;44.44444274902344;natural
storage_and_return_water;Chevreulia sarmentosa;0.017179494723677635;16.66666603088379;natural
nitrogen_provision;Plectranthus;0.04075004905462265;11.11111068725586;natural
nitrogen_provision;Lobelia erinus;0;11.11111068725586;natural
nitrogen_provision;Asteraceae;0.007356578484177589;22.22222137451172;natural
soil_structuration;Anisotome aromatica;0.08225420117378235;11.11111068725586;natural
nitrogen_provision;Eriophorum angustifolium;0.4503942131996155;55.55555725097656;natural
storage_and_return_water;Oxytropis ochrocephala;0.11159110814332962;16.66666603088379;natural
nitrogen_provision;Taraxacum confusum;0.49699684977531433;22.22222137451172;natural
nitrogen_provision;Olearia ramulosa;0.005064479541033506;11.11111068725586;natural
storage_and_return_water;Luzula spicata subsp. conglomerata;0.010412478819489479;16.66666603088379;natural
storage_and_return_water;Valeriana officinalis;0.20465928316116333;83.33333587646484;natural
nitrogen_provision;Astragalus canadensis;0.7663105726242065;77.77777862548828;natural
nitrogen_provision;Tectaria incisa;0.046431683003902435;11.11111068725586;natural
nitrogen_provision;Parietaria judaica;0.3548800051212311;44.44444274902344;natural
nitrogen_provision;Scheuchzeria palustris;0.21508769690990448;33.33333206176758;natural
nitrogen_provision;Potentilla intermedia;0.46307650208473206;22.22222137451172;natural
storage_and_return_water;Calluna vulgaris;0.08074545115232468;66.66666412353516;natural
storage_and_return_water;Artemisia scoparia;0.06975695490837097;33.33333206176758;natural
nitrogen_provision;Achillea erba-rotta subsp. moschata;0.6311550140380859;33.33333206176758;natural
nitrogen_provision;Linum medium;0.16781111061573029;44.44444274902344;natural
nitrogen_provision;Cyrtocymura scorpioides;0.1666666716337204;11.11111068725586;natural
nitrogen_provision;Potentilla crinita;0.6650255918502808;55.55555725097656;natural
nitrogen_provision;Erythroxylum squamatum;0.09320569038391113;11.11111068725586;natural
storage_and_return_water;Plantago australis;0.014319227077066898;16.66666603088379;natural
storage_and_return_water;Centaurea deusta;0.01514439471065998;16.66666603088379;natural
soil_structuration;Cologania angustifolia;0.11371582001447678;11.11111068725586;natural
storage_and_return_water;Elaphoglossum herminieri;0.04467150568962097;16.66666603088379;natural
storage_and_return_water;Rodgersia aesculifolia;0.262831449508667;16.66666603088379;natural
nitrogen_provision;Amphilophium paniculatum;0.599193811416626;22.22222137451172;natural
nitrogen_provision;Thermopsis macrophylla;1;11.11111068725586;natural
nitrogen_provision;Helianthus petiolaris;0.1666666716337204;11.11111068725586;natural
nitrogen_provision;Araujia sericifera;0.4363269507884979;22.22222137451172;natural
storage_and_return_water;Fagopyrum acutatum;0.3410220444202423;16.66666603088379;natural
nitrogen_provision;Silene stellata;0.5820299386978149;22.22222137451172;natural
storage_and_return_water;Stemmacantha uniflora;0.01312071830034256;16.66666603088379;natural
nitrogen_provision;Velleia glabrata;0.008657143451273441;11.11111068725586;natural
nitrogen_provision;Lespedeza capitata;0.8261829018592834;66.66666412353516;natural
storage_and_return_water;Crossotoma spinescens;0.0063843028619885445;16.66666603088379;natural
nitrogen_provision;Fagonia cretica;0;11.11111068725586;natural
nitrogen_provision;Heteranthera reniformis;0.6728882193565369;33.33333206176758;natural
storage_and_return_water;Cotoneaster nummularius;0.006910867989063263;16.66666603088379;natural
nitrogen_provision;Astragalus nuttallianus;1;11.11111068725586;natural
storage_and_return_water;Sapium glandulosum;0.15799018740653992;50;natural
nitrogen_provision;Rumex tuberosus;0.09251771867275238;11.11111068725586;natural
nitrogen_provision;Hemerocallis citrina;0.012739993631839752;11.11111068725586;natural
soil_structuration;Euphorbia cyparissias;0.23426997661590576;44.44444274902344;natural
storage_and_return_water;Globularia vulgaris;0.010769680142402649;16.66666603088379;natural
storage_and_return_water;Ranunculus multiscapus;0.00869935192167759;16.66666603088379;natural
storage_and_return_water;Fimbristylis dura;0.014645818620920181;16.66666603088379;natural
storage_and_return_water;Helianthella quinquenervis;0.2093990445137024;33.33333206176758;natural
nitrogen_provision;Cruciata glabra;0.14233779907226562;66.66666412353516;natural
nitrogen_provision;Seseli elatum subsp. osseum;0.4734155833721161;22.22222137451172;natural
nitrogen_provision;Erythronium dens-canis;0.6482152342796326;33.33333206176758;natural
storage_and_return_water;Lupinus perennis;0.20339073240756989;66.66666412353516;natural
storage_and_return_water;Chromolaena odorata;0.1268254816532135;16.66666603088379;natural
storage_and_return_water;Geranium carolinianum;0.0825001448392868;16.66666603088379;natural
nitrogen_provision;Erodium lebelii;0.4240095019340515;22.22222137451172;natural
storage_and_return_water;Filago desertorum;0.16291333734989166;16.66666603088379;natural
soil_structuration;Astragalus canadensis;0.09912222623825073;11.11111068725586;natural
nitrogen_provision;Anagallis minima;0.518000066280365;22.22222137451172;natural
nitrogen_provision;Dilkea retusa;0.08968187123537064;11.11111068725586;natural
nitrogen_provision;Agrostis;0.15530675649642944;44.44444274902344;natural
storage_and_return_water;Linum bienne;0.025397980585694313;16.66666603088379;natural
storage_and_return_water;Sisyrinchium albidum;0.12439237534999847;16.66666603088379;natural
nitrogen_provision;Hedyosmum bonplandianum;0.01793944649398327;11.11111068725586;natural
nitrogen_provision;Bothriochloa barbinodis;0.026192620396614075;11.11111068725586;natural
storage_and_return_water;Ranunculus abortivus;0.048687905073165894;16.66666603088379;natural
storage_and_return_water;Galium japonicum;0.017209013924002647;16.66666603088379;natural
storage_and_return_water;Adesmia bicolor;0.011658484116196632;33.33333206176758;natural
nitrogen_provision;Polygonum sibiricum var. thomsonii;0.050874751061201096;11.11111068725586;natural
storage_and_return_water;Juncus longistylis;0.026777708902955055;16.66666603088379;natural
nitrogen_provision;Xanthium orientale subsp. italicum;0.6670498251914978;33.33333206176758;natural
nitrogen_provision;Kalmia polifolia;0.2598239779472351;33.33333206176758;natural
